,year,tax_band,engine_capacity,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
68,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,
88,2000.0,,1781.0,12.7,7.0,9.1,22.2,40.4,31.0,72.0,218.0,1053.0,,,,,686.0,,,,,
89,2000.0,,2598.0,14.9,8.0,10.5,19.0,35.3,26.9,72.0,250.0,431.0,,,,,791.0,,,,,
90,2000.0,,2598.0,16.3,8.5,11.3,17.3,33.2,25.0,73.0,270.0,525.0,,,,,851.0,,,,,
91,2000.0,,2771.0,14.9,8.7,10.9,19.0,32.5,25.9,73.0,256.0,446.0,,,,,821.0,,,,,
92,2000.0,,2771.0,16.1,8.8,11.4,17.5,32.1,24.8,74.0,267.0,472.0,,,,,858.0,,,,,
93,2000.0,,1781.0,12.8,6.8,9.0,22.1,41.5,31.4,74.0,216.0,691.0,,,,,678.0,,,,,
94,2000.0,,1781.0,12.4,7.4,9.3,22.8,38.2,30.4,73.0,223.0,628.0,,,,,700.0,,,,,
95,2000.0,,1781.0,13.5,7.3,9.6,20.9,38.7,29.4,74.0,230.0,863.0,,,,,724.0,,,,,
96,2000.0,,1781.0,12.7,7.7,9.5,22.2,36.7,29.7,73.0,228.0,628.0,,,,,716.0,,,,,
97,2000.0,,1895.0,10.8,5.8,7.6,26.2,48.7,37.2,74.0,183.0,722.0,47.0,,,,572.0,,,,,
98,2000.0,,1895.0,12.0,7.1,8.9,23.5,39.8,31.7,72.0,213.0,1058.0,63.0,,,,671.0,,,,,
99,2000.0,,1665.0,8.6,5.0,6.4,32.8,56.5,44.1,74.0,168.0,430.0,,,0.04,,495.0,,,,,
100,2000.0,,1895.0,11.3,5.9,7.9,25.0,47.9,35.8,74.0,187.0,693.0,,,,,594.0,,,,,
101,2000.0,,1895.0,12.8,6.5,8.8,22.1,43.5,32.1,71.0,209.0,744.0,,,,,663.0,,,,,
102,2000.0,,3201.0,16.6,7.9,11.1,17.0,35.8,25.4,75.0,268.0,535.0,,,,,838.0,,,,,
103,2000.0,,3201.0,16.6,7.9,11.1,17.0,35.8,25.4,75.0,268.0,535.0,,,,,838.0,,,,,
104,2000.0,,1895.0,10.9,6.0,7.8,25.9,47.1,36.2,74.0,187.0,1160.0,69.0,,,,588.0,,,,,
105,2000.0,,1991.0,12.6,7.2,9.2,22.4,39.2,30.7,74.0,220.0,491.0,,,,,693.0,,,,,
106,2000.0,,1991.0,13.9,7.6,9.9,20.3,37.2,28.5,73.0,237.0,379.0,,,,,747.0,,,,,
107,2000.0,,2793.0,12.9,7.4,9.4,21.9,38.2,30.1,75.0,225.0,891.0,95.0,,,,707.0,,,,,
108,2000.0,,2793.0,14.4,8.1,10.4,19.6,34.9,27.2,74.0,249.0,652.0,101.0,,,,782.0,,,,,
109,2000.0,,2979.0,13.3,7.3,9.5,21.2,38.7,29.7,74.0,228.0,269.0,9.0,,,,716.0,,,,,
110,2000.0,,2979.0,14.3,7.6,10.1,19.8,37.2,28.0,74.0,242.0,288.0,6.0,,,,760.0,,,,,
111,2000.0,,1895.0,11.3,5.7,7.8,25.0,49.6,36.2,73.0,187.0,722.0,47.0,,,,588.0,,,,,
112,2000.0,,1895.0,12.3,6.9,8.9,23.0,40.9,31.7,70.0,213.0,412.0,94.0,,,,671.0,,,,,
113,2000.0,,1895.0,11.0,6.1,7.9,25.7,46.3,35.8,72.0,188.0,1160.0,69.0,,,,594.0,,,,,
114,2000.0,,1895.0,12.7,6.9,9.1,22.2,40.9,31.0,70.0,216.0,814.0,98.0,,,,686.0,,,,,
115,2000.0,,1895.0,11.0,6.1,7.9,25.7,46.3,35.8,72.0,188.0,1160.0,69.0,,,,594.0,,,,,
116,2000.0,,1895.0,12.7,6.9,9.1,22.2,40.9,31.0,70.0,216.0,814.0,98.0,,,,686.0,,,,,
117,2000.0,,1895.0,11.4,6.2,8.1,24.8,45.6,34.9,72.0,194.0,1160.0,69.0,,,,610.0,,,,,
118,2000.0,,1895.0,13.3,7.0,9.3,21.2,40.4,30.4,70.0,223.0,814.0,98.0,,,,700.0,,,,,
119,2000.0,,1951.0,7.4,4.7,5.7,38.2,60.1,49.6,73.0,152.0,245.0,411.0,,0.035,,440.0,,,,,
120,2000.0,,1951.0,7.7,4.8,5.9,36.7,58.9,47.9,73.0,156.0,245.0,411.0,,0.035,,456.0,,,,,
121,2000.0,,2494.0,13.4,7.5,9.7,21.1,37.7,29.1,74.0,232.0,633.0,86.0,,,,731.0,,,,,
122,2000.0,,2494.0,15.2,7.9,10.6,18.6,35.8,26.6,73.0,254.0,611.0,89.0,,,,800.0,,,,,
123,2000.0,,2494.0,12.7,6.9,9.0,22.2,40.9,31.4,74.0,215.0,905.0,78.0,,,,678.0,,,,,
124,2000.0,,2494.0,14.9,7.2,10.0,19.0,39.2,28.2,73.0,239.0,633.0,86.0,,,,754.0,,,,,
125,2000.0,,2494.0,12.7,6.9,9.0,22.2,40.9,31.4,74.0,215.0,905.0,78.0,,,,678.0,,,,,
126,2000.0,,2494.0,14.9,7.2,10.0,19.0,39.2,28.2,73.0,239.0,633.0,86.0,,,,754.0,,,,,
127,2000.0,,2793.0,12.5,7.0,9.1,22.6,40.4,31.0,71.0,216.0,891.0,95.0,,,,686.0,,,,,
128,2000.0,,2793.0,15.3,7.1,10.1,18.5,39.8,28.0,70.0,241.0,981.0,118.0,,,,760.0,,,,,
129,2000.0,,2793.0,12.5,7.0,9.1,22.6,40.4,31.0,71.0,216.0,891.0,95.0,,,,686.0,,,,,
130,2000.0,,2793.0,15.3,7.1,10.1,18.5,39.8,28.0,70.0,241.0,981.0,118.0,,,,760.0,,,,,
131,2000.0,,2793.0,13.1,7.1,9.3,21.6,39.8,30.4,71.0,223.0,891.0,95.0,,,,700.0,,,,,
132,2000.0,,2793.0,15.3,7.4,10.3,18.5,38.2,27.4,70.0,247.0,981.0,118.0,,,,776.0,,,,,
133,2000.0,,2979.0,13.9,7.6,9.9,20.3,37.2,28.5,75.0,237.0,269.0,9.0,,,,747.0,,,,,
134,2000.0,,2979.0,15.5,7.8,10.6,18.2,36.2,26.6,74.0,254.0,447.0,13.0,,,,800.0,,,,,
135,2000.0,,2979.0,12.8,6.9,9.1,22.1,40.9,31.0,75.0,218.0,269.0,9.0,,,,686.0,,,,,
136,2000.0,,2979.0,14.5,7.3,9.9,19.5,38.7,28.5,74.0,238.0,447.0,13.0,,,,747.0,,,,,
137,2000.0,,2926.0,9.3,5.4,6.8,30.4,52.3,41.5,73.0,181.0,323.0,437.0,,0.033,,526.0,,,,,
138,2000.0,,2926.0,11.2,6.2,8.0,25.2,45.6,35.3,73.0,213.0,114.0,464.0,,0.03,,618.0,,,,,
139,2000.0,,2926.0,9.5,5.6,7.0,29.7,50.4,40.4,73.0,186.0,323.0,437.0,,0.033,,540.0,,,,,
140,2000.0,,2926.0,11.3,6.3,8.1,25.0,44.8,34.9,73.0,216.0,114.0,464.0,,0.03,,625.0,,,,,
141,2000.0,,2979.0,12.8,6.9,9.1,22.1,40.9,31.0,75.0,218.0,269.0,9.0,,,,686.0,,,,,
142,2000.0,,2979.0,14.5,7.3,9.9,19.5,38.7,28.5,74.0,238.0,447.0,13.0,,,,747.0,,,,,
143,2000.0,,2979.0,13.1,7.2,9.4,21.6,39.2,30.1,75.0,225.0,269.0,9.0,,,,707.0,,,,,
144,2000.0,,2979.0,14.8,7.5,10.2,19.1,37.7,27.7,74.0,244.0,447.0,13.0,,,,768.0,,,,,
145,2000.0,,1991.0,12.6,6.9,9.0,22.4,40.9,31.4,74.0,215.0,313.0,,,,,678.0,,,,,
146,2000.0,,1991.0,14.5,7.4,9.9,19.5,38.2,28.5,73.0,237.0,215.0,,,,,747.0,,,,,
