file,year,manufacturer,model,description,euro_standard,tax_band,transmission,transmission_type,engine_capacity,fuel_type,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,thc_emissions,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
DatapartC_july2000.csv,2000,Alfa Romeo,166 Range,3.0 V6 24v Super,2,,M6,Manual,2959,Petrol,18.3,9.1,12.5,15.4,31,22.6,74,296,,1214,,,,,941,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,Spider/GTV,GTV V6 24v,2,,M5,Manual,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,75,278,,1222,,,,,883,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,Spider/GTV,GTV V6 24v,2,,M6,Manual,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,74,278,,1256,,,,,883,,,,,
DatapartC_july2000.csv,2000,Alfa Romeo,Spider/GTV,Spider/GTV 2.0 Twin Spark 16v,2,,M5,Manual,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,74,220,,1292,,,,,693,,,,,
DatapartC_july2000.csv,2000,Aston Martin Lagonda,Aston Martin,DB7 Vantage (Coupé & Convertible),2,,A5,Automatic,5935,Petrol,31.7,11.9,19.1,8.9,23.8,14.8,74,460,,148,,,,,1438,,,,,
DatapartC_july2000.csv,2000,Aston Martin Lagonda,Aston Martin,DB7 Vantage (Coupé & Convertible),2,,M6,Manual,5935,Petrol,29.2,12.6,18.8,9.7,22.3,15.1,75,450,,724,,,,,1409,,,,,
DatapartC_july2000.csv,2000,Aston Martin Lagonda,Aston Martin,V8 Coupé Petrol,2,,A4,Automatic,5340,Petrol,31.2,14,20.2,9,20.2,14,73.9,483,,1608,,,,,1520,,,,,
DatapartC_july2000.csv,2000,Aston Martin Lagonda,Aston Martin,V8 Volante (LWB) Petrol,2,,A4,Automatic,5340,Petrol,34.2,13.5,21.1,8.4,20.9,13.3,73.9,503,,1459,,,,,1600,,,,,
"DatapartC_july2000.csv,2000,Aston Martin Lagonda,Aston Martin,""Vantage Petrol, Supercharged"",2,,M6,Manual,5340,Petrol,34.2,14.1,21.5,8.4,20,13.1,74.9,511,,960,,,,,1624,,,,,"
DatapartC_july2000.csv,2000,Audi,Audi 'S' Quattro Series,S3 1.8 T Quattro 210bhp,2,,QM6,Manual,1781,Petrol,12.3,7.3,9.2,23,38.7,30.7,74,221,,667,,,,,693,,,,,
DatapartC_july2000.csv,2000,Audi,Audi 'S' Quattro Series,S4 2.7 V6 Quattro 265bhp,2,,QM6,Manual,2671,Petrol,16,8.9,11.5,17.7,31.7,24.6,75,276,,698,,,,,865,,,,,
DatapartC_july2000.csv,2000,Audi,Audi 'S' Quattro Series,S6 4.2 V8 Quattro 340 bhp,2,,QA5,Automatic,4172,Petrol,22,10.4,14.6,12.8,27.2,19.3,74,350,,234,,,,,1102,,,,,
DatapartC_july2000.csv,2000,Audi,Audi 'S' Quattro Series,S8 4.2 V8 Quattro 360bhp,2,,QA5,Automatic,4172,Petrol,22,9.8,14.2,12.8,28.8,19.9,74,341,,344,,,,,1069,,,,,
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.6 101bhp,2,,M5,Manual,1595,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,71,187,,680,,,,,588,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.6 101bhp,2,,A4,Automatic,1595,Petrol,11.5,6.7,8.5,24.6,42.2,33.2,70,204,,722,,,,,641,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.8 125bhp,2,,M5,Manual,1781,Petrol,11.8,6.4,8.4,23.9,44.1,33.6,72,202,,656,,,,,633,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.8 125bhp,2,,A4,Automatic,1781,Petrol,13.4,7,9.3,21.1,40.4,30.4,71,223,,665,,,,,700,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.8 T 150bhp,2,,M5,Manual,1781,Petrol,10.8,6.4,8,26.2,44.1,35.3,71,192,,124,,,,,603,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.8 T 150bhp,2,,A4,Automatic,1781,Petrol,13.4,6.9,9.3,21.1,40.9,30.4,70,223,,203,,,,,700,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.8 T Quattro 180bhp,2,,QM5,Manual,1781,Petrol,13.3,7.5,9.6,21.2,37.7,29.4,74,230,,782,,,,,724,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.9 TDI 110bhp,2,,M5,Manual,1781,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,71,138,,447,,,0.064,,394,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.9 TDI 110bhp,2,,A4,Automatic,1781,Diesel,9,5,6.4,31.4,56.5,44.1,71,173,,245,,,0.081,,495,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.9 TDI 90bhp,2,,M5,Manual,1896,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,73,143,,482,,,0.066,,409,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)"",1.9 TDI 90bhp,2,,A4,Automatic,1896,Diesel,9,5,6.4,31.4,56.5,44.1,73,173,,191,,,0.078,,495,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.6 101bhp,2,,M5,Manual,1595,Petrol,11.7,6.1,8.2,24.1,46.3,34.4,74,197,,521,,,,,618,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.6 101bhp,2,,A4,Automatic,1595,Petrol,12,6.9,8.8,23.5,40.9,32.1,72,211,,520,,,,,663,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.8 125bhp,2,,M5,Manual,1781,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,73,206,,622,,,,,649,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.8 125bhp,2,,A4,Automatic,1781,Petrol,12.4,7.1,8.9,22.8,39.8,31.7,69,214,,619,,,,,671,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.8 T 150bhp,2,,M5,Manual,1781,Petrol,11.2,6.6,8.2,25.2,42.8,34.4,72,197,,444,,,,,618,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.8 T 150 bhp,2,,A5,Automatic,1781,Petrol,13.5,7.1,9.5,20.9,39.8,29.7,70,228,,421,,,,,716,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.8 T Quattro 180bhp,2,,QM5,Manual,1781,Petrol,12.3,7.3,9.2,23,38.7,30.7,72,221,,830,,,,,693,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.9 TDI 90bhp,2,,M5,Manual,1896,Diesel,7.1,4.5,5.5,39.8,62.8,51.4,73,149,,432,,,0.058,,425,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",1.9 TDI 90bhp,2,,A4,Automatic,1896,Diesel,8.9,5.1,6.5,31.7,55.4,43.5,70,176,,135,,,0.088,,502,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.4 V6 165 bhp,2,,M5,Manual,2393,Petrol,13.7,7.2,9.6,20.6,39.2,29.4,73,230,,892,,,,,724,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.4 V6 165 bhp,2,,A5,Automatic,2393,Petrol,15,7.6,10.1,18.8,37.2,28,73,242,,917,,,,,760,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.5 V6 TDI 150bhp,2,,M6,Manual,2496,Diesel,9.8,5.3,6.9,28.8,53.3,40.9,73,186,,332,,,0.042,,534,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.5 V6 TDI 150bhp,2,,A5,Automatic,2496,Diesel,11.1,6.1,7.9,25.4,46.3,35.8,73,213,,418,,,0.055,,610,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.5 V6 TDI Quattro 150bhp,2,,QM6,Manual,2496,Diesel,11.2,6,7.9,25.2,47.1,35.8,73,213,,69,,,0.052,,610,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.5 V6 TDI Quattro 150bhp,2,,QA5,Automatic,2496,Diesel,12.2,6.7,8.7,23.2,42.2,32.5,72,235,,169,,,0.065,,671,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.8 V6 Quattro 193bhp,2,,QM5,Manual,2771,Petrol,15,8.1,10.6,18.8,34.9,26.6,73,254,,518,,,,,800,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant, SE, Sport & Quattro)"",2.8 V6 Quattro 193bhp,2,,QA5,Automatic,2771,Petrol,16.2,8,11,17.4,35.3,25.7,74,264,,656,,,,,828,,,,,"
"DataPartB_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant & SE)"",1.9 TDI 115 bhp,3,,M5,Manual,1896,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,72,146,,180,430,,0.03,,417,,,,,"
"DataPartB_july2000.csv,2000,Audi,""Audi A4 (Saloon, Avant & SE)"",1.9 TDI 115 bhp,3,,A5,Automatic,1896,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,73,186,,220,470,,0.04,,534,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",1.8 T 150bhp,2,,M5,Manual,1781,Petrol,11.5,6.8,8.6,24.6,41.5,32.8,72,206,,444,,,,,649,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",1.8 T 150bhp,2,,A5,Automatic,1781,Petrol,14,7.3,9.8,20.2,38.7,28.8,72,235,,421,,,,,739,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",1.8 T Quattro 150 bhp,2,,QM5,Manual,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,74,230,,186,,,,,724,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",1.9 TDI 110bhp,2,,M5,Manual,1896,Diesel,7.7,4.8,5.9,36.7,58.9,47.9,72,159,,532,,,0.054,,456,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",1.9 TDI 110bhp,2,,A4,Automatic,1896,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,72,186,,177,,,0.056,,534,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.4 V6 165bhp,2,,M5,Manual,2393,Petrol,14.2,7.7,10.1,19.9,36.7,28,72,242,,852,,,,,760,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.4 V6 165bhp,2,,A5,Automatic,2393,Petrol,15.9,7.8,10.9,17.8,36.2,25.9,72,262,,967,,,,,821,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.4 V6 Quattro 165 bhp,2,,M5,Manual,2393,Petrol,15.3,8.4,11,18.5,33.6,25.7,73,264,,1219,,,,,828,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.5 V6 TDI 150bhp,2,,M6,Manual,2496,Diesel,10,5.4,7.1,28.2,52.3,39.8,73,192,,386,,,0.05,,548,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.5 V6 TDI 150bhp,2,,A5,Automatic,2496,Diesel,12.2,6.1,8.3,23.2,46.3,34,73,224,,492,,,0.069,,642,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.7 V6 Quattro 230bhp,2,,QM,Manual,2671,Petrol,16.6,9.1,11.8,17,31,23.9,73,283,,632,,,,,890,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.7 V6 Quattro 230bhp,2,,QA,Automatic,2671,Petrol,18.3,9,12.4,15.4,31.4,22.8,73,298,,747,,,,,933,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.8 V6 Quattro 194bhp,2,,QM5,Manual,2771,Petrol,15.7,8.4,11.1,18,33.6,25.4,72,266,,581,,,,,838,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",2.8 V6  Quattro 194bhp,2,,QA5,Automatic,2771,Petrol,16.9,8.7,11.7,16.7,32.5,24.1,72,281,,802,,,,,883,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant, SE & Quattro)"",4.2 V8 Quattro 300bhp,2,,QA5,Automatic,4172,Petrol,19.2,9.7,13.2,14.7,29.1,21.4,74,317,,223,,,,,994,,,,,"
"DataPartB_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant & Quattro)"",2.5 V6 TDI Quattro 180 bhp,3,,QM6,Manual,2496,Diesel,11.3,6.4,8.1,25,44.1,34.9,73,219,,4,318,,0.026,,625,,,,,"
"DataPartB_july2000.csv,2000,Audi,""Audi A6 (Saloon, Avant & Quattro)"",2.5 V6 TDI Quattro 180 bhp,3,,QA5,Automatic,2496,Diesel,13,6.7,9,21.7,42.2,31.4,72,243,,117,343,,0.034,,695,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A8 (Sport, Quattro & Quattro Sport)"",2.8 V6 193bhp,2,,FA5,Automatic,2771,Petrol,16.3,7.6,10.8,17.3,37.2,26.2,72,259,,610,,,,,812,,,,,"
"DatapartC_july2000.csv,2000,Audi,""Audi A8 (Sport, Quattro & Quattro Sport)"",3.7 V8 Quattro 260bhp,2,,QA5,Automatic,3697,Petrol,18.4,9,12.4,15.4,31.4,22.8,73,298,,753,,,,,933,,,,,"
